index,mark
56065,4.106184120166646
304637,4.460165215071516
177437,3.829628801123275
222396,3.7812472886326063
271996,4.466692877981372
296113,4.763867137044653
216793,4.534008371415233
216914,3.8186906737909565
19077,4.641668687429976
273892,4.707446435023498
284499,4.584855481401858
8270,4.3045611460703395
166676,4.58540438781781
42315,4.503185876905648
258855,4.0449048741734765
299718,4.835389293735384
378685,3.455452056715404
174074,3.7967829410829332
291966,4.174915894475126
78431,4.279468625478264
204655,5.0
219416,4.634429687772172
337510,4.0982035585975884
335503,3.1943489598816535
5942,4.169990412299123
248611,3.760210311529
304992,3.6635155995353537
809,4.727811370060448
207392,4.301768642546138
338867,4.095681683860838
364709,4.487593413173374
329126,4.560932258623497
76198,4.045270883037639
51006,4.300667325436173
324331,3.480562079302795
51051,3.5026260084929848
170280,4.5473289510098285
263528,4.720081104324167
64877,4.463410905694805
85983,4.20307464446798
18095,3.595082498196127
336979,3.4575457568990142
25809,3.440519762282728
163137,4.178462387531141
10260,4.714223914186391
277555,4.296385224589546
218081,4.21335254647018
330887,4.430871509864813
352492,4.687910302240584
242180,3.8684318641054234
230795,4.526587511731053
306880,4.001921634057124
315140,4.29522106612189
335945,4.3164708933594005
68064,4.138198300015503
230940,4.122025423866479
214720,4.028740845000692
213875,3.630293831338242
284608,3.566626032953111
42895,4.400382268870171
340177,3.8530877144631326
315904,4.522045734504723
298895,3.439924708357169
190959,4.2534105501920045
267949,4.507386276944545
241103,4.571836065431576
7169,4.709063361765683
85902,3.822707731969023
313883,4.167102775105609
3279,4.370439614373649
336803,4.628104415489283
248838,3.6530446735857316
50310,3.755242615970459
346368,4.198122112788504
324986,4.575645108131748
179861,3.6069756194596665
331108,4.5209310195707655
78997,4.334459509402795
379463,3.5480085311150247
228429,3.95486850332334
362956,3.8550584119336597
295690,4.556904319254549
313373,4.087145296155387
202527,4.018146852931563
2095,4.074328758243893
330142,3.550582345140337
331748,4.662538667071021
21370,4.59499854864918
1812,4.897308808647676
375010,4.111459967279161
309416,3.944973758217748
271762,3.7125430925559657
179369,4.191401354793844
63053,4.235228452468678
74852,4.542586817032201
376319,4.356914580363805
367092,4.452854627362707
195898,4.479253973401026
223517,3.5435386822390598
61049,4.044094451383407
67697,4.742839877316532
40521,4.691500560286289
309527,4.263479569224732
282092,3.6096121138818553
171648,4.259729260822527
270997,3.8358358432087156
218714,4.530023999079069
68724,4.1657600107384845
357196,4.548693559167661
293498,4.530681377937423
178136,4.5524565956760785
297593,4.1491020411857695
345102,3.50611994226668
372298,4.55582831597709
357155,4.03099995692974
254420,3.338339136924967
85677,3.7498886382583776
178807,4.569604620970036
289755,4.774555929439883
33088,4.619619051864281
13859,3.9741869274186414
28644,3.916365706148882
265883,4.485130363338497
325374,4.684279057646474
85974,3.9174447247075426
203392,4.479020339601479
23006,4.09647462090306
326029,4.187981044327752
375247,4.665273439342076
17264,4.850619614226549
257804,4.34166088088368
267002,3.622471611222527
83071,4.463902463043081
356077,4.347031648133931
200127,4.099804859031963
151975,4.777158379987214
59472,4.683040309332051
178363,4.1879435081876215
239143,4.256772580461966
287456,4.261666747262862
204565,4.523564321603676
180204,3.8933168847215582
191158,3.3922194421956493
326146,4.0018909012012935
13801,4.2110709074439105
189649,4.098368559420318
77496,4.767081772251214
371422,3.5880430248262702
233187,4.761250722727131
86368,4.465345692122589
86188,3.727798567383175
37950,4.765203866518807
358301,4.621081391515189
249187,4.153296333533579
225641,4.4645171647383055
369825,3.4159515115836916
299701,3.945541007756417
250626,3.8033514596572915
225478,4.744649529083083
350124,3.70314968789076
252075,4.503467413104867
324165,4.386536088680642
26605,3.547835212501121
106422,3.9831392743734058
241424,4.02354881011562
23659,4.371848648254871
316198,4.191762628218385
187605,4.736153556496873
42916,4.500539991294147
351711,4.19116438448462
202613,4.4230930361543095
224221,3.6852737856881195
187295,3.6709240036679236
234969,4.393438131517868
40824,3.6026430787987076
53146,3.9059494101662815
225131,4.736800173783054
306989,4.9208915634990325
67141,4.746891228699301
301094,4.446526797879679
297427,3.4060166063187003
16920,4.535724022439957
55386,4.040732287764066
75600,3.932431955317677
65080,4.239830390887103
348106,3.806955634950461
372594,4.132565389978529
187796,3.983643874181882
261598,4.425907555240881
192356,3.693900379127437
354485,3.531754298725709
17180,4.5341099665085896
84192,4.430683069676754
362158,3.636996632830669
363463,4.213764172198461
255428,4.2598639609136795
85931,4.138957222980423
369536,4.165511764930857
217952,4.485474056509136
159508,4.323146871447868
63380,3.7656827422253594
354242,4.771507969319914
368885,4.165196563078306
341328,4.580686115538772
268815,4.18804965854872
80631,3.593224802011862
216101,4.298262857166128
161882,4.257810197556242
203772,3.4573965845283507
246758,4.622630968759196
371281,3.9095608140750038
880,3.646184398642922
298896,3.4576422194057304
292492,4.3340433669034395
327275,3.4576830143421176
296404,4.360742227074459
43384,3.1175623304125666
318808,4.32327226761328
45848,4.0557531416343675
275640,4.532326627822255
335980,3.573559454819538
45185,3.9087171847067506
196051,4.42126505041193
254393,4.059366766961799
323756,3.955746312295628
48990,4.625331354699023
81376,3.567123749803747
180611,4.158298044375357
336525,4.37649944765042
279725,3.575727541540593
329370,4.650601398216526
329193,4.178985744285321
369659,4.749553867373025
270122,4.351125444346549
47531,4.399672147530754
29731,3.6803892054988254
262881,4.082846664636478
1946,4.58187973924876
37376,3.4621816412210307
325069,4.00733033153254
251907,3.3673340965029173
363355,4.2510965536735394
77016,4.573909479396483
23260,4.810713638201305
160950,4.1110391615067
199683,4.181511154893364
372099,3.643120670548524
325685,4.502970028959238
32584,4.585452118368715
15250,4.412652023101243
377900,4.436766899743357
301735,3.981030526899771
325961,4.214832850700552
377206,4.44273156602588
236345,4.405183445222031
33740,4.470305365141285
76620,4.306928648667346
346601,4.577720713753584
34938,3.8293953580227615
23560,4.246575150968834
300940,4.637774192524469
41869,4.6682817224170465
195415,4.177501717430967
229807,4.315418624621682
204827,3.864000163289771
5677,4.494667761362215
350745,4.298827339453476
4656,4.502114201014141
209555,4.647884874152965
357038,3.5993448243942128
283671,4.124785546493494
16573,4.628695567647304
328594,3.796027992720114
350120,4.741295210658346
242123,4.347925799195317
295589,4.107463999823915
347273,4.679586308470281
26617,4.853894121221268
65589,4.238917819677112
325638,4.028967871475651
77686,4.593626239513995
205653,4.1732909563146965
70223,4.4468644764772804
347690,3.8543672143896894
354402,3.9592035379375843
369227,4.407276264608686
331111,3.5264750757532113
78759,4.460687899157796
211448,4.259417817130866
276381,4.206876239530295
208987,3.8966171685633175
352234,4.346490189968564
25865,4.540192338213291
78416,4.697851279137264
369136,4.128855023036522
239189,4.505016548749807
50540,4.415003842565706
286431,4.490383031385709
182639,3.6598114755670497
69162,4.269680258825127
274248,4.423346798664099
199731,4.2152110407220915
48453,4.288618377659144
161278,3.6671162934653543
166221,3.7926140976986864
160189,4.192984739819397
235794,4.399627464418167
232162,4.430665683433092
335083,4.223104678706605
157187,4.001953505484641
164577,4.343372528925503
256457,4.119811957654059
257542,3.9450398445831296
54398,4.805355547920544
346596,3.6407727551769145
301078,4.29548774569477
247169,4.100071169886378
270806,4.180846771197481
171725,3.953930595407298
171461,4.543216566925169
270453,4.709066214150329
166855,4.396227086485695
248820,4.471352596217911
88394,3.857751210943646
338061,4.451274696359956
7564,3.8837201749295365
335510,4.354459212701339
38509,4.061863940433248
377409,4.139131181467894
